
🚀 전환 매매 전략 백테스트 시작
   원본 주식: TSLA
   롱 ETF: TSLL
   숏 ETF: TSLS
   기간: 2024-11-01 ~ 2025-12-03
   간격: 2m


======================================================================
전환 매매 전략 백테스트 시작
원본 주식: TSLA -> TSLL 2 /TSLS -1
기간: 2024-11-01 ~ 2025-12-03
초기 자본: $1200.00
======================================================================

데이터 수집 중...
✅ 데이터 수집 완료: 원본 5175개, 롱 5175개, 숏 5107개

📈 [2025-10-24 11:32] TSLA -> TSLL 롱 진입 @ $20.26 x 56.27 (수수료: $2.85)
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.26
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.18
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.22
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.20
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.25
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.23
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.14
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.07
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.04
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.04
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.00
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 19.94
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.01
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.00
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.03
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.03
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 19.97
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.06
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.03
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.04
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.06
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.06
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.05
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.06
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 20.02
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 19.99
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 19.98
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 19.94
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 19.94
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 19.86
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 19.82
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 19.84
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 19.86
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 19.83
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 19.82
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 19.83
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 19.85
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 19.89
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 19.88
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 19.92
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 19.88
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 19.80
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 19.82
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 19.81
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 19.79
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 19.79
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 19.70
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 19.79
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 19.79
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 19.73
self.entry_time: 2025-10-24 11:32, self.current_etf_symbol: TSLL, self.current_position: LONG, self.entry_price: 20.26, current_price: 19.72
